ParName   Value   Gradient
MGparm[1]     0.304517 -1.00142e-06
SR_parm[1]      14.1263  4.58727e-05
SR_parm[2]     0.626954  4.74388e-06
SR_parm[3]      1.40004 -5.48598e-07
recdev1(1988)     0.107166 -1.97075e-06
recdev1(1989)     0.439487 -2.59124e-06
recdev1(1990)     0.881912 -2.29696e-06
recdev1(1991)      1.05939 -1.51219e-06
recdev1(1992)      1.04073  -1.8635e-06
recdev1(1993)     0.959563 -1.09295e-06
recdev1(1994)     0.926078 -9.85276e-07
recdev1(1995)     0.487305 -3.76372e-07
recdev1(1996)     0.525935   2.2344e-07
recdev1(1997)     0.180961  6.29872e-07
recdev1(1998)    -0.223082   1.5774e-06
recdev1(1999)    -0.644024  9.50639e-07
recdev1(2000)      -1.1021  2.45602e-07
recdev1(2001)     -0.85021  3.01826e-06
recdev1(2002)    -0.739863  2.72502e-06
recdev1(2003)     -0.60166  2.68129e-06
recdev1(2004)    0.0546295  1.57611e-06
recdev1(2005)    0.0976542  2.27899e-06
recdev1(2006)     0.125686  5.74497e-06
recdev1(2007)    -0.320983  4.00808e-06
recdev1(2008)    -0.477429  2.99582e-06
recdev1(2009)    -0.195765  1.21259e-06
recdev1(2010)   -0.0827972 -2.87946e-06
recdev1(2011)    0.0696507 -4.68593e-06
recdev1(2012)     0.113842 -3.68373e-06
recdev1(2013)   0.00752448 -2.22129e-06
recdev1(2014)     0.186774 -5.31231e-08
recdev1(2015)     -0.19656 -3.07106e-07
recdev1(2016)      -0.2959 -8.47036e-07
recdev1(2017)    -0.640049 -1.94392e-06
recdev1(2018)    -0.494502  -2.2446e-06
recdev1(2019)    -0.227383 -2.43949e-06
recdev1(2020)    -0.171986 -2.24015e-06
Q_parm[1]     -10.6238  5.39676e-06
Q_parm[2]    -0.176364   7.3411e-06
selparm[1]      3.09127  -4.4404e-07
selparm[2]      1.69843 -2.09718e-07
selparm[3]      3.68814  4.94747e-08
selparm[4]      2.65817  -5.6722e-08
selparm[5]      1.63859 -6.76843e-07
selparm[6]     0.851354  1.07864e-07
selparm[7]     0.944237  4.00537e-07
selparm[8]      1.29401   3.2943e-07
selparm[9]      1.04449  9.33567e-09
selparm[10]      1.49202 -3.83059e-08
